description,amount,category
Brownie,0.6,Food
To lended people,3.6,Transfer
Dinner,0.94,Food
Metro,0.36,Transport
Snacks,0.8,Food
From vicky,1.2,Transfer
From dad,6.0,Transfer
Pizza,4.07,Food
From kumara,2.4,Transfer
Lunch,2.92,Food
From dad,18.0,Transfer
To karthi,1.2,Transfer
Snacks,0.48,Food
Tea lights,1.01,Food
Creamstone,3.47,Food
Tamen,3.9,Food
Hoodie for gobi,4.79,Shopping
Eggs,1.0,Food
Earphone,4.79,Shopping
Auto to laxmi mills,1.44,Transport
It better be worth it,15.6,Transport
Travel to koyambedu,1.66,Transport
Stuffs,4.03,Other
Train cbe to chn,2.42,Transport
Lunch,2.4,Food
Random stuff for drinks,1.33,Food
Snacks,3.0,Food
Bus ticket,18.9,Transport
Took from sbi,2.4,Transport
Ramen with gobi,4.56,Food
Metro,0.72,Transport
To auto anna,0.6,Transfer
To egmore,3.24,Transport
Kfc dinner,4.18,Food
Lunch,0.96,Food
Side dishes,1.98,Food
Kfc ,5.7,Food
Games ,1.2,Shopping
Dinner with aravind and buddies,5.89,Food
Mirror,0.84,Shopping
Lunch,0.96,Food
From dad,120.0,Transfer
Dinner with aravind,4.48,Food
Kfc dinner,7.69,Food
From dad,12.0,Transfer
Bean bag,25.19,Shopping
Auto to Gobi's place,2.57,Transport
Cakepark,1.5,Food
To kumara,1.8,Food
To chennai,12.0,Transport
Salary from dad,60.0,Transfer
To gobi,18.0,Transfer
Shawarma,0.96,Food
Good soup,0.6,Food
To gowdham,1.8,Transfer
Parotta,1.44,Food
From dad,6.0,Transfer
Vnr to apk,0.6,Transport
To vicky,2.4,Transfer
To ksr station,1.84,Transport
Dinner,1.86,Food
Cycle gap ,1.44,Food
Brunch,1.26,Food
Rapido to pg,0.53,Transport
Sent to barath,1.2,Transfer
Banana,0.12,Food
Lunch with company,1.66,Food
Rapido to pg,0.52,Transport
To vicky,3.6,Transfer
To vishnu,1.2,Transfer
Zinger box meal,3.35,Food
From vicky,3.6,Transfer
From dad,18.0,Transfer
Snacks,1.38,Food
Vishnu 100 gowdham 25,1.5,Transfer
Paani poori,0.3,Food
Kfc date with myself,3.11,Food
Lemon tea,0.22,Food
Train to vnr,3.9,Transport
Snack,0.48,Food
Lunch with company,1.6,Food
Pepsi,0.48,Food
Dinner,5.58,Food
Sent to vicky,3.6,Food
Lunch,3.62,Food
From vicky,3.72,Transfer
Snacks with preethi and azar,2.11,Food
Badminton,2.4,Shopping
From dad,24.0,Transfer
Lunch with company,2.26,Food
Snacks,0.44,Food
From vicky,2.4,Transfer
Lunch + chocolate for preethi,2.05,Food
Dinner,3.61,Food
Snack with preethi,0.71,Food
Lunch with company,1.78,Food
To kumara,2.4,Transfer
From dad,12.0,Transfer
Eve snack,1.2,Food
Bus to Bangalore,16.38,Transport
From dad,18.0,Transfer
Snacks,0.84,Food
Kumara,2.04,Transfer
Siva + 100 cash,0.84,Transfer
Gundan + prasanna,4.08,Transfer
Dinesh and maddy + 100 cash,2.88,Transfer
From gowdham,4.08,Transfer
Lunch pongal,18.36,Food
Dinner,0.79,Food
From dad,12.0,Transfer
Rapido to pg,0.52,Transport
Recharge by gowdham,5.75,Transfer
Pizza,3.62,Food
